GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sanity4J,com.github.sanity4j.report,PackageWriter.new Comparator() {...},26,0,0,0,4,0,2,0,2,0
Sanity4J,com.github.sanity4j.report,ExportWriter,563,0,36,0,131,0,22,0,4,0
Sanity4J,com.github.sanity4j.report,RuleCatalogueWriter.new Comparator() {...},24,0,2,0,5,0,3,0,2,0
Sanity4J,com.github.sanity4j.report,CrossProjectChartCreator,333,0,16,0,61,0,13,0,5,0
Sanity4J,com.github.sanity4j.report,ExtractStaticContent,349,0,30,0,78,0,21,0,6,0
Sanity4J,com.github.sanity4j.report,PackageWriter,1423,0,84,0,286,0,54,0,12,0
Sanity4J,com.github.sanity4j.report,RuleCatalogueWriter.DiagnosticProperty,25,0,0,0,10,0,5,0,5,0
Sanity4J,com.github.sanity4j.report,ReportWriter,395,0,24,0,81,0,16,0,4,0
Sanity4J,com.github.sanity4j.report,JavaSourceWriter.DiagnosticStartLineComparator,17,0,4,0,4,0,4,0,2,0
Sanity4J,com.github.sanity4j.report,JavaSourceWriter,464,0,42,0,96,0,26,0,5,0
Sanity4J,com.github.sanity4j.report,ChartFactory,12,202,4,8,3,40,5,5,1,3
Sanity4J,com.github.sanity4j.report,ReportUtil,71,223,0,19,13,46,2,18,2,7
Sanity4J,com.github.sanity4j.report,RuleCatalogueWriter,228,0,18,0,51,0,13,0,4,0
Sanity4J,com.github.sanity4j.report,CategoryWriter,320,0,24,0,70,0,16,0,4,0
Sanity4J,com.github.sanity4j.util.math,InfixExpression,79,218,11,29,14,47,11,18,2,4
Sanity4J,com.github.sanity4j.util.math,SyntaxException,9,0,0,0,4,0,2,0,2,0
Sanity4J,com.github.sanity4j.util.math,PostfixExpression,80,196,4,15,15,44,5,12,1,4
Sanity4J,com.github.sanity4j.gen.pmd_4_2_1,Violation,70,24,0,0,32,8,19,8,19,8
Sanity4J,com.github.sanity4j.gen.pmd_4_2_1,Suppressedviolation,38,0,0,0,16,0,11,0,11,0
Sanity4J,com.github.sanity4j.gen.pmd_4_2_1,ObjectFactory,23,0,0,0,7,0,6,0,6,0
Sanity4J,com.github.sanity4j.gen.pmd_4_2_1,Pmd,30,20,4,2,10,6,8,3,5,3
Sanity4J,com.github.sanity4j.gen.pmd_4_2_1,Error,17,0,0,0,7,0,5,0,5,0
Sanity4J,com.github.sanity4j.gen.pmd_4_2_1,File,9,12,1,1,3,4,2,3,1,3
Sanity4J,com.github.sanity4j.ui,QaApp,1005,0,46,0,164,0,32,0,9,0
Sanity4J,com.github.sanity4j.ui,QaApp.new Thread() {...},58,0,4,0,10,0,4,0,2,0
Sanity4J,com.github.sanity4j.ui,QaApp.new WindowAdapter() {...},10,0,0,0,3,0,2,0,2,0
Sanity4J,com.github.sanity4j.ui,QaApp.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
Sanity4J,com.github.sanity4j.ui,QaLoggerJTextAreaImpl,111,0,0,0,20,0,9,0,9,0
Sanity4J,com.github.sanity4j.ui,FileInput,88,0,6,0,24,0,9,0,6,0
Sanity4J,com.github.sanity4j.ui,FieldLabel,24,0,2,0,2,0,2,0,1,0
Sanity4J,com.github.sanity4j.maven.plugin,Coordinate,271,0,21,0,90,0,33,0,20,0
Sanity4J,com.github.sanity4j.maven.plugin,RunQAMojo,1420,0,120,0,275,0,113,0,53,0
Sanity4J,com.github.sanity4j.maven.plugin,RunQAMojo.new ArtifactFilter() {...},15,0,2,0,2,0,3,0,2,0
Sanity4J,com.github.sanity4j.gen.checkstyle_4_4,File,9,12,1,1,3,4,2,3,1,3
Sanity4J,com.github.sanity4j.gen.checkstyle_4_4,ObjectFactory,15,0,0,0,5,0,4,0,4,0
Sanity4J,com.github.sanity4j.gen.checkstyle_4_4,Checkstyle,9,12,1,1,3,4,2,3,1,3
Sanity4J,com.github.sanity4j.gen.checkstyle_4_4,Error,23,15,0,0,11,5,6,5,6,5
Sanity4J,com.github.sanity4j.model.coverage,ClassCoverage,14,88,2,8,2,22,2,13,1,9
